time, pos, vel, LA.acc, accMax, decMax, vMax, target, HA
113.000000, 216.994485, 22.880023, -2.985865, 4.000000, -3.000000, 30.000000, 300.000000, 1
114.000000, 219.267558, 22.581436, -2.832043, 4.000000, -3.000000, 30.000000, 300.000000, 1
115.000000, 221.511541, 22.298232, -2.891701, 4.000000, -3.000000, 30.000000, 300.000000, 1
116.000000, 223.726906, 22.009062, -3.206280, 4.000000, -3.000000, 30.000000, 300.000000, 1
117.000000, 225.911781, 21.688434, -3.145398, 4.000000, -3.000000, 30.000000, 300.000000, 1
118.000000, 228.064897, 21.373894, -3.081412, 4.000000, -3.000000, 30.000000, 300.000000, 1
119.000000, 230.186879, 21.065753, -3.045055, 4.000000, -3.000000, 30.000000, 300.000000, 1
120.000000, 232.278229, 20.761247, -3.103282, 4.000000, -3.000000, 30.000000, 300.000000, 1
121.000000, 234.338838, 20.450919, -3.071486, 4.000000, -3.000000, 30.000000, 300.000000, 1
122.000000, 236.368572, 20.143771, -2.914235, 4.000000, -3.000000, 30.000000, 300.000000, 1
123.000000, 238.368378, 19.852347, -3.123621, 4.000000, -3.000000, 30.000000, 300.000000, 1
124.000000, 240.337995, 19.539985, -3.258753, 4.000000, -3.000000, 30.000000, 300.000000, 1
125.000000, 242.275699, 19.214110, -2.986152, 4.000000, -3.000000, 30.000000, 300.000000, 1
126.000000, 244.182180, 18.915494, -2.883553, 4.000000, -3.000000, 30.000000, 300.000000, 1
127.000000, 246.059311, 18.627139, -2.975468, 4.000000, -3.000000, 30.000000, 300.000000, 1
128.000000, 247.907148, 18.329592, -3.054614, 4.000000, -3.000000, 30.000000, 300.000000, 1
129.000000, 249.724834, 18.024131, -3.073067, 4.000000, -3.000000, 30.000000, 300.000000, 1
130.000000, 251.511882, 17.716824, -2.973694, 4.000000, -3.000000, 30.000000, 300.000000, 1
131.000000, 253.268696, 17.419455, -3.002311, 4.000000, -3.000000, 30.000000, 300.000000, 1
132.000000, 254.995630, 17.119224, -2.998353, 4.000000, -3.000000, 30.000000, 300.000000, 1
133.000000, 256.692560, 16.819388, -2.934675, 4.000000, -3.000000, 30.000000, 300.000000, 1
134.000000, 258.359826, 16.525921, -2.757800, 4.000000, -3.000000, 30.000000, 300.000000, 1
135.000000, 259.998629, 16.250141, -3.059264, 4.000000, -3.000000, 30.000000, 300.000000, 1
136.000000, 261.608347, 15.944215, -2.911116, 4.000000, -3.000000, 30.000000, 300.000000, 1
137.000000, 263.188212, 15.653103, -2.892286, 4.000000, -3.000000, 30.000000, 300.000000, 1
138.000000, 264.739061, 15.363874, -3.084740, 4.000000, -3.000000, 30.000000, 300.000000, 1
139.000000, 266.260025, 15.055400, -2.882010, 4.000000, -3.000000, 30.000000, 300.000000, 1
140.000000, 267.751155, 14.767199, -2.924003, 4.000000, -3.000000, 30.000000, 300.000000, 1
141.000000, 269.213255, 14.474799, -2.987607, 4.000000, -3.000000, 30.000000, 300.000000, 1
142.000000, 270.645797, 14.176038, -3.001990, 4.000000, -3.000000, 30.000000, 300.000000, 1
143.000000, 272.048391, 13.875839, -3.042012, 4.000000, -3.000000, 30.000000, 300.000000, 1
144.000000, 273.420765, 13.571638, -3.092216, 4.000000, -3.000000, 30.000000, 300.000000, 1
145.000000, 274.762467, 13.262417, -3.046378, 4.000000, -3.000000, 30.000000, 300.000000, 1
146.000000, 276.073477, 12.957779, -2.806473, 4.000000, -3.000000, 30.000000, 300.000000, 1
147.000000, 277.355223, 12.677131, -2.900363, 4.000000, -3.000000, 30.000000, 300.000000, 1
148.000000, 278.608434, 12.387095, -2.999029, 4.000000, -3.000000, 30.000000, 300.000000, 1
149.000000, 279.832148, 12.087192, -3.061239, 4.000000, -3.000000, 30.000000, 300.000000, 1
150.000000, 281.025561, 11.781068, -2.944713, 4.000000, -3.000000, 30.000000, 300.000000, 1
