x, y, vx, vy, left_present, l_x, l_y, l_vx, l_vy, forward_present, f_x, f_y, f_vx, f_vy, right_present, r_x, r_y, r_vx, r_vy, LA.steer, LA.acc, target_lane, HA
0.0, -1.0, 0.336, -0.028, 1.0, 0.0, -1.0, 0.336, -0.028, 1.0, 0.264, 0.0, -0.083, 0.028, 1.0, 0.084, 1.0, -0.075, 0.028, 0.033, 10.081, 0, 0
0.0, -1.0, 0.359, -0.009, 1.0, 0.0, -1.0, 0.359, -0.009, 1.0, 0.245, 0.0, -0.106, 0.009, 1.0, 0.067, 1.0, -0.099, 0.009, 0.011, 12.128, 0, 0
0.0, -1.0, 0.368, -0.002, 1.0, 0.0, -1.0, 0.368, -0.002, 1.0, 0.223, 0.0, -0.115, 0.002, 1.0, 0.046, 1.0, -0.108, 0.002, 0.003, 10.892, 0, 0
0.0, -1.0, 0.372, -0.001, 1.0, 0.0, -1.0, 0.372, -0.001, 1.0, 0.199, 0.0, -0.119, 0.001, 1.0, 0.024, 1.0, -0.112, 0.001, 0.001, 10.373, 0, 0
0.0, -1.0, 0.374, -0.0, 1.0, 0.0, -1.0, 0.374, -0.0, 1.0, 0.175, 0.0, -0.121, 0.0, 1.0, 0.001, 1.0, -0.114, 0.0, 0.0, -9.844, 0, 1
0.0, -1.0, 0.353, -0.0, 1.0, 0.0, -1.0, 0.353, -0.0, 1.0, 0.153, 0.0, -0.099, 0.0, 1.0, -0.019, 1.0, -0.093, 0.0, 0.0, 7.971, 0, 0
0.0, -1.0, 0.366, -0.0, 1.0, 0.0, -1.0, 0.366, -0.0, 1.0, 0.132, 0.0, -0.112, 0.0, 1.0, -0.039, 1.0, -0.106, 0.0, 0.0, -8.755, 0, 1
0.0, -1.0, 0.349, -0.0, 1.0, 0.0, -1.0, 0.349, -0.0, 1.0, 0.111, 0.0, -0.096, 0.0, 1.0, 0.387, 1.0, -0.095, 0.0, 0.213, -1.573, 1, 3
1.0, 1.0, 0.339, 0.051, 1.0, 0.094, -1.0, -0.085, -0.051, 1.0, 0.37, 0.0, -0.085, -0.051, 1.0, 0.001, 1.0, -0.063, -0.051, -0.032, 9.341, 1, 0
1.0, 1.0, 0.361, 0.022, 1.0, 0.074, -1.0, -0.107, -0.022, 1.0, 0.35, 0.0, -0.107, -0.022, 1.0, -0.014, 1.0, -0.086, -0.022, -0.023, 11.818, 1, 0
1.0, 1.0, 0.369, 0.007, 1.0, 0.052, -1.0, -0.116, -0.007, 1.0, 0.328, 0.0, -0.115, -0.007, 1.0, -0.032, 1.0, -0.094, -0.007, -0.007, 10.762, 1, 0
1.0, 1.0, 0.373, 0.002, 1.0, 0.028, -1.0, -0.119, -0.002, 1.0, 0.305, 0.0, -0.119, -0.002, 1.0, 0.407, 1.0, -0.098, -0.002, -0.002, 10.319, 1, 0
1.0, 1.0, 0.374, 0.0, 1.0, 0.004, -1.0, -0.121, -0.0, 1.0, 0.281, 0.0, -0.12, -0.0, 1.0, 0.388, 1.0, -0.1, -0.0, -0.0, 10.134, 1, 0
1.0, 1.0, 0.375, 0.0, 1.0, -0.02, -1.0, -0.121, -0.0, 1.0, 0.257, 0.0, -0.121, -0.0, 1.0, 0.368, 1.0, -0.1, -0.0, -0.0, 10.056, 1, 0
